CID_MT_ATR,CID_MT_BEH,CID_MT_CAT,CID_MT_INT,CID_MT_OFF,CID_WK_BEH,CID_WK_CAT,CID_WK_INT,CID_WK_OFF
2021-12-02,2022-09-01,2023-04-27,,,2023-07-13,2023-04-06,2023-07-06,2023-11-02
2021-12-30,2022-12-01,2023-09-28,,2023-06-29,2023-09-28,2023-09-28,2022-04-07,2023-09-28
2022-02-03,2023-06-01,2022-07-28,,2023-09-28,2022-10-27,2023-01-12,2022-03-31,2023-11-09
2022-03-03,2023-08-31,2021-12-02,,,2022-03-17,2022-03-17,2022-12-22,2023-07-20
2022-03-31,2023-06-29,2022-04-28,,,2022-06-02,2022-06-02,2023-09-07,2023-08-03
2022-04-28,2023-03-02,2023-11-02,,,2023-11-09,2023-07-13,2023-10-19,2023-09-21
2022-06-02,2023-08-03,2023-08-31,,,2023-09-07,2022-02-24,2023-05-18,2023-08-10
2022-06-30,2023-03-30,2022-09-29,,,2022-09-22,2023-11-09,2021-12-30,2023-10-05
2022-07-28,2022-04-28,2023-08-03,,,2022-12-15,2022-07-07,2022-01-20,2023-07-27
2022-09-01,2022-11-03,2023-03-02,,,2022-02-24,2023-09-07,2023-08-24,2023-10-19
2022-09-29,2021-12-02,2022-09-01,,,2022-07-28,2023-10-26,2023-06-01,2023-08-24
2022-11-03,2023-11-02,2022-12-29,,,2022-11-10,2022-07-28,2022-03-10,2023-06-22
2022-12-01,2021-12-30,2023-06-29,,,2022-08-25,2022-08-25,2022-01-13,2023-09-14
2022-12-29,2022-06-30,2022-11-03,,,2023-02-23,2022-06-09,2023-03-30,2023-08-31
2023-02-02,2023-09-28,2022-03-31,,2023-08-03,2022-01-27,2022-01-27,2023-08-10,2023-09-07
2023-03-02,2022-12-29,2022-06-02,,2023-08-31,2023-01-12,2022-10-27,2023-09-21,2023-10-26
2023-03-30,2022-03-03,2022-02-03,,,2023-05-11,2023-05-11,2021-12-09,2023-06-15
2023-04-27,2023-02-02,2022-03-03,,,2022-06-09,2022-02-10,2022-09-22,2023-06-29
2023-06-01,2022-09-29,2023-03-30,,,2022-07-07,2022-09-22,2022-05-12,2023-06-08
2023-06-29,2022-02-03,2022-12-01,,,2023-10-26,2022-11-10,2022-11-24,2023-07-06
2023-08-03,2022-03-31,2022-06-30,,2023-11-02,2022-03-31,2022-03-31,2023-03-16,2023-07-13
2023-08-31,2023-04-27,2023-06-01,,,2023-04-06,2023-01-05,2022-08-18,
2023-09-28,2022-06-02,2021-12-30,,,2022-02-10,2022-12-15,2022-06-16,2023-08-17
2023-11-02,2022-07-28,2023-02-02,,,2022-08-11,2022-08-11,2023-07-27,2023-10-12
